   3   90   24   3     ! kAE, kLc, kmlt, kLat
 AE [nT]     L       MLT        Lat [0,10] LBC Bw [pT]       Lat [10,20] LBC Bw [pT]       Lat [20,30] LBC Bw [pT]
   0 100  1.35         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35         8                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        21                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        22                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.35        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         0                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         1                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         8                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        21                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        22                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.45        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         0                 1.7221586e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         1                 2.1004724e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55         8                 6.8221769e-02                 0.0000000e+00                 1.6613166e-02
   0 100  1.55         9                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        21                 1.8298474e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        22                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.55        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         0                 3.3035981e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         1                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         7                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         8                 2.7927471e-02                 0.0000000e+00                 0.0000000e+00
   0 100  1.65         9                 7.4374487e-02                 2.4867267e-02                 0.0000000e+00
   0 100  1.65        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        11                 0.0000000e+00                 7.1680204e-02                 0.0000000e+00
   0 100  1.65        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
